score,n_estimators,criterion,max_features
0.709428927485003,77,squared_error,log2
0.6938558429813948,55,friedman_mse,
0.7353408309446444,56,friedman_mse,
0.711591176646869,77,friedman_mse,sqrt
0.7095729366780197,77,squared_error,sqrt
0.7375762961051537,56,squared_error,
0.7087003704135482,77,friedman_mse,log2
0.7110465870497835,58,squared_error,
0.7142102474180776,78,friedman_mse,sqrt
0.7437471027476159,57,friedman_mse,
0.7090226460304654,79,squared_error,sqrt
0.7048262930537945,58,friedman_mse,
0.7421361157657618,57,squared_error,
0.7076195979777999,79,squared_error,log2
0.7140852787329455,78,friedman_mse,log2
0.7085789410703014,78,squared_error,sqrt
0.7108614579988158,78,squared_error,log2
0.7076569030525092,79,friedman_mse,sqrt
0.7093920894873432,79,friedman_mse,log2
0.7197116339461913,59,friedman_mse,
0.7374245623984248,80,squared_error,log2
0.7198085202839399,59,squared_error,
0.7341481878752716,80,friedman_mse,sqrt
0.7369134277062879,80,squared_error,sqrt
0.7418928296973373,80,friedman_mse,log2
0.7374397257575886,81,squared_error,sqrt
0.7329410999702208,81,squared_error,log2
0.7609130503636876,82,squared_error,sqrt
0.735902496322657,81,friedman_mse,sqrt
0.7378403720655482,81,friedman_mse,log2
0.7277751651800041,60,squared_error,
0.736135978884505,83,squared_error,sqrt
0.7560699103440356,82,friedman_mse,log2
0.7574217074202252,82,squared_error,log2
0.7550513567298192,82,friedman_mse,sqrt
0.7244803209827757,60,friedman_mse,
0.6903170070334333,61,squared_error,
0.737291317772731,83,squared_error,log2
0.7098482421026269,62,squared_error,
0.6861798188639454,61,friedman_mse,
0.7319230777709999,83,friedman_mse,log2
0.7430632260735814,84,friedman_mse,sqrt
0.741645764082447,84,squared_error,log2
0.7340372452116635,83,friedman_mse,sqrt
0.7231289007567723,85,squared_error,log2
0.7092794262712133,62,friedman_mse,
0.7416514371644377,84,friedman_mse,log2
0.7467110657021312,84,squared_error,sqrt
0.6938697899678781,63,squared_error,
0.7158269993486438,85,friedman_mse,log2
0.7178326005986031,85,squared_error,sqrt
0.6914108592308965,63,friedman_mse,
0.7223323455704214,86,squared_error,log2
0.7221850135684627,85,friedman_mse,sqrt
0.7195561961265263,86,squared_error,sqrt
0.7209440849159794,86,friedman_mse,log2
0.7198301995874787,86,friedman_mse,sqrt
0.7188886802493906,64,squared_error,
0.7455400757436377,87,squared_error,log2
0.7448303876345648,87,squared_error,sqrt
0.7147485521242944,64,friedman_mse,
0.7468445754930066,87,friedman_mse,sqrt
0.7449651563884416,87,friedman_mse,log2
0.7183781477682571,88,squared_error,log2
0.7165416258797657,88,squared_error,sqrt
0.7360114187607574,65,squared_error,
0.7303886830806265,66,squared_error,
0.7202223947892363,88,friedman_mse,sqrt
0.733958241340504,65,friedman_mse,
0.7162959664354476,88,friedman_mse,log2
0.7359117269640963,89,friedman_mse,log2
0.6829446443690568,90,squared_error,log2
0.7295354820687754,89,squared_error,log2
0.7328429180086627,89,friedman_mse,sqrt
0.7254618846025993,66,friedman_mse,
0.7324508213862351,89,squared_error,sqrt
0.7191584104196307,67,squared_error,
0.6896788578805637,90,friedman_mse,log2
0.7234809005882864,67,friedman_mse,
0.6840100124167197,90,friedman_mse,sqrt
0.6833532003134607,90,squared_error,sqrt
0.7051246373797151,91,squared_error,log2
0.706762720529312,91,squared_error,sqrt
0.7019829486125246,91,friedman_mse,sqrt
0.7273842878020718,92,squared_error,log2
0.708080757014199,91,friedman_mse,log2
0.7293567074042185,92,squared_error,sqrt
0.7319016082513606,92,friedman_mse,sqrt
0.7317500884495387,68,squared_error,
0.7281908225697952,92,friedman_mse,log2
0.715109829211978,93,squared_error,log2
0.7244696099523782,68,friedman_mse,
0.7197442615870329,69,squared_error,
0.7157365797362079,93,squared_error,sqrt
0.7159912211254484,93,friedman_mse,log2
0.7344633777147923,94,squared_error,sqrt
0.7323076659869293,94,friedman_mse,sqrt
0.7163608484210837,93,friedman_mse,sqrt
0.7317524101112096,94,squared_error,log2
0.7192608071066242,69,friedman_mse,
0.7353099840967566,94,friedman_mse,log2
0.6912441017181522,70,friedman_mse,
0.6913184049445872,70,squared_error,
0.731895273129723,95,squared_error,log2
0.7334598182180568,95,friedman_mse,log2
0.7356557461321246,95,squared_error,sqrt
0.7363915133299772,95,friedman_mse,sqrt
0.7076917509780678,71,squared_error,
0.7389216966603872,96,squared_error,log2
0.7151179091028579,72,squared_error,
0.7340576546534402,96,squared_error,sqrt
0.7257460766108346,97,squared_error,sqrt
0.7370395734010717,96,friedman_mse,log2
0.7355565991132686,96,friedman_mse,sqrt
0.7057782277545925,71,friedman_mse,
0.718609168588928,97,friedman_mse,sqrt
0.7192736170513241,72,friedman_mse,
0.7192205066585569,97,squared_error,log2
0.7220521122675554,97,friedman_mse,log2
0.7270953835785187,98,squared_error,sqrt
0.7019743562513863,73,squared_error,
0.7266614747080675,98,squared_error,log2
0.7292823245482689,98,friedman_mse,log2
0.731021339951426,98,friedman_mse,sqrt
0.7004359365407192,73,friedman_mse,
0.7262213967381009,99,friedman_mse,log2
0.7215880496720497,99,squared_error,log2
0.7255757100372202,99,squared_error,sqrt
0.7279901159259088,99,friedman_mse,sqrt
0.7105704261364497,74,friedman_mse,
0.7112325622381357,74,squared_error,
0.7185022035831647,97,poisson,log2
0.7229697148640829,97,poisson,sqrt
0.70732421631546,75,friedman_mse,
0.7066308867328939,76,squared_error,
0.7007997682298,75,squared_error,
0.7007677136028616,77,squared_error,
0.7058872649408354,76,friedman_mse,
0.7012041282278281,77,friedman_mse,
0.7085614423164204,78,squared_error,
0.7080042880249964,78,friedman_mse,
0.7019875156549198,79,squared_error,
0.7049969191639149,79,friedman_mse,
0.7304126079442947,80,squared_error,
0.7342764384050144,80,friedman_mse,
0.7392058828631065,81,squared_error,
0.7402984888097243,81,friedman_mse,
0.7503873099696565,82,squared_error,
0.7490861132616382,82,friedman_mse,
0.721741011850539,83,squared_error,
0.725004298830461,83,friedman_mse,
0.7317285581446323,84,squared_error,
0.7312830922130846,84,friedman_mse,
0.702485629128546,85,squared_error,
0.6991001028003967,85,friedman_mse,
0.7103859406579642,86,squared_error,
0.7114994404881514,86,friedman_mse,
0.7404074334427944,87,squared_error,
0.7428402331295372,87,friedman_mse,
0.7163788108144757,88,squared_error,
0.7209950663870979,88,friedman_mse,
0.7261932025010029,89,squared_error,
0.7261257541290624,89,friedman_mse,
0.6745754167187322,90,squared_error,
0.6723230386969428,90,friedman_mse,
0.6915082293851071,91,squared_error,
0.6916171975384647,91,friedman_mse,
0.721243161676349,92,squared_error,
0.7035043198861759,93,squared_error,
0.7270873048034496,92,friedman_mse,
0.7047900964081264,93,friedman_mse,
0.7329730020922369,94,squared_error,
0.7310164821316523,94,friedman_mse,
0.7233384736801654,95,squared_error,
0.7260039526635541,95,friedman_mse,
0.7434698088547944,96,squared_error,
0.7437263680683361,96,friedman_mse,
0.7170197375194447,97,squared_error,
0.7160034281343461,97,friedman_mse,
0.7262148896097347,98,squared_error,
0.7265730000424508,98,friedman_mse,
0.7251967056651762,99,squared_error,
0.716199440414163,99,friedman_mse,
0.7149117182534462,97,poisson,
0.7311466937058981,50,absolute_error,log2
0.7366929527738375,50,absolute_error,sqrt
0.7383035712627111,52,absolute_error,sqrt
0.7374000635430518,52,absolute_error,log2
0.697647251213793,51,absolute_error,sqrt
0.697774909132125,51,absolute_error,log2
0.7233583565412764,54,absolute_error,sqrt
0.7192607056335676,53,absolute_error,log2
0.725441405610233,54,absolute_error,log2
0.7027101551115426,55,absolute_error,sqrt
0.7004600619391033,55,absolute_error,log2
0.7089260206971657,58,absolute_error,log2
0.7404333132685994,57,absolute_error,sqrt
0.7444339607479853,56,absolute_error,log2
0.7474089673821558,56,absolute_error,sqrt
0.7415695644105929,57,absolute_error,log2
0.7020755682413123,58,absolute_error,sqrt
0.7359995946944697,60,absolute_error,sqrt
0.7153696153195792,53,absolute_error,sqrt
0.7237073642767495,59,absolute_error,log2
0.7090546688517682,62,absolute_error,sqrt
0.7359646080671443,60,absolute_error,log2
0.7114566177473516,62,absolute_error,log2
0.7020113605747305,61,absolute_error,sqrt
0.7248273763546167,59,absolute_error,sqrt
0.7228203631458575,64,absolute_error,sqrt
0.7219385006282957,63,absolute_error,sqrt
0.7283380761193847,63,absolute_error,log2
0.7332993301253496,67,absolute_error,log2
0.7218017736848394,64,absolute_error,log2
0.7390716664874895,65,absolute_error,log2
0.6963517700130738,61,absolute_error,log2
0.7326323653815823,66,absolute_error,sqrt
0.7293627707246797,66,absolute_error,log2
0.7377931520954748,65,absolute_error,sqrt
0.7333173191808093,69,absolute_error,log2
0.7272085744677621,67,absolute_error,sqrt
0.7359053071053139,69,absolute_error,sqrt
0.7253179096740683,68,absolute_error,log2
0.6971413982236494,70,absolute_error,sqrt
0.7146179413606631,72,absolute_error,log2
0.697306493680072,70,absolute_error,log2
0.7240650031369825,68,absolute_error,sqrt
0.723737180132926,71,absolute_error,sqrt
0.723668229708103,71,absolute_error,log2
0.7135114597015677,72,absolute_error,sqrt
0.7176609242076533,73,absolute_error,sqrt
0.7230607541393099,73,absolute_error,log2
0.7203394069286708,75,absolute_error,sqrt
0.7302529665699653,74,absolute_error,log2
0.7090452555888318,78,absolute_error,log2
0.7285101989585059,74,absolute_error,sqrt
0.7187495501646926,75,absolute_error,log2
0.7126137611058513,76,absolute_error,sqrt
0.7143383441693401,76,absolute_error,log2
0.7019226481256877,79,absolute_error,log2
0.7054407933953875,79,absolute_error,sqrt
0.7092602107523373,77,absolute_error,sqrt
0.7352637109841232,80,absolute_error,log2
0.708813635663569,78,absolute_error,sqrt
0.734915128358113,81,absolute_error,log2
0.707041236924295,77,absolute_error,log2
0.7332512735174119,80,absolute_error,sqrt
0.7337861563407511,83,absolute_error,sqrt
0.756992566019682,82,absolute_error,sqrt
0.7319861739689477,83,absolute_error,log2
0.7357896529092047,81,absolute_error,sqrt
0.7127626726152027,85,absolute_error,log2
0.7397382133070229,84,absolute_error,sqrt
0.7430453779680678,87,absolute_error,log2
0.7438033118159519,84,absolute_error,log2
0.7154935505401593,85,absolute_error,sqrt
0.7582139679208563,82,absolute_error,log2
0.7460541464236736,87,absolute_error,sqrt
0.714263919529143,88,absolute_error,log2
0.6819689077890114,90,absolute_error,log2
0.7220410272182993,86,absolute_error,sqrt
0.7173966058156671,86,absolute_error,log2
0.7077021082182846,91,absolute_error,sqrt
0.6814634739467926,90,absolute_error,sqrt
0.7309049665638366,92,absolute_error,log2
0.7211154554524077,88,absolute_error,sqrt
0.730819504718346,89,absolute_error,sqrt
0.728086762993193,92,absolute_error,sqrt
0.712660312970089,93,absolute_error,log2
0.728982721556098,94,absolute_error,sqrt
0.7046961525573566,91,absolute_error,log2
0.7091396246719286,93,absolute_error,sqrt
0.7264308825177078,89,absolute_error,log2
0.7323451371729295,95,absolute_error,sqrt
0.7231668659822649,97,absolute_error,log2
0.730893776303428,94,absolute_error,log2
0.7364207628636447,96,absolute_error,log2
0.7233934519368647,97,absolute_error,sqrt
0.7350712073147398,96,absolute_error,sqrt
0.7308400674158295,98,absolute_error,sqrt
0.7244492104611668,98,absolute_error,log2
0.7230880274538731,99,absolute_error,log2
0.7319098976511161,95,absolute_error,log2
0.7243547445492553,99,absolute_error,sqrt
0.7326912770875282,50,absolute_error,
0.6898990642063938,51,absolute_error,
0.7234559021568094,52,absolute_error,
0.7168278420217777,53,absolute_error,
0.715775581587407,54,absolute_error,
0.6987575364344876,55,absolute_error,
0.7378425554235215,56,absolute_error,
0.7422613082051635,57,absolute_error,
0.7125711816673054,58,absolute_error,
0.7202725304083224,59,absolute_error,
0.7306255299622871,60,absolute_error,
0.6996061169838752,61,absolute_error,
0.7068807752645148,62,absolute_error,
0.6945548016446421,63,absolute_error,
0.7174530267911656,64,absolute_error,
0.7360010111864332,65,absolute_error,
0.7238226584280781,66,absolute_error,
0.7250053313696998,67,absolute_error,
0.7255873968498681,68,absolute_error,
0.7240676000855487,69,absolute_error,
0.6953540808493477,70,absolute_error,
0.7154510401260972,71,absolute_error,
0.7190927174666883,72,absolute_error,
0.701687015349091,73,absolute_error,
0.7160597917366726,74,absolute_error,
0.7108352379879129,75,absolute_error,
0.710401767264041,76,absolute_error,
0.7029320460880624,77,absolute_error,
0.7057267261555047,78,absolute_error,
0.7063904468874582,79,absolute_error,
0.7342416928317349,80,absolute_error,
0.737832457144466,81,absolute_error,
0.749287044558008,82,absolute_error,
0.7211835233642232,83,absolute_error,
0.7309936471456864,84,absolute_error,
0.7008804045051877,85,absolute_error,
0.7111251391888664,86,absolute_error,
0.7452183773588612,87,absolute_error,
0.7218254383474696,88,absolute_error,
0.6742339973371858,90,absolute_error,
0.7275461631448399,89,absolute_error,
0.6935606138657604,91,absolute_error,
0.7208208093646955,92,absolute_error,
0.7045671258061788,93,absolute_error,
0.7334426271373441,94,absolute_error,
0.7171111765450635,95,absolute_error,
0.738166455553575,96,absolute_error,
0.7164795109332687,97,absolute_error,
0.7302808022197653,98,absolute_error,
0.722506034368928,99,absolute_error,
