Model,N_estimators,Learning_rate,Score,R2_Score,CVS,MSE,MAE,RMSE
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,26,0.6,0.7157229426285507,0.7062555787904543,0.705615043197195,5.587469057805711,1.5663291066276626,2.3637827856648994
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,26,0.7,0.7398802284481851,0.7342359028265812,0.7269250599852914,5.055240414499119,1.5100109377994568,2.2483861800187084
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,26,0.8,0.7342359028265812,0.7256692857067398,0.7032664661753676,5.218190600548905,1.5339320170000272,2.2843359211265106
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,26,0.9,0.7156803909312548,0.7398802284481851,0.7305865698603967,4.9478766911881165,1.507170051188427,2.2243823167765284
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,26,1.0,0.7256692857067398,0.7389139659492541,0.7291291855771431,4.966256484725181,1.5244385237736733,2.2285099247535745
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,27,0.1,0.7402524178113636,0.7285989675929097,0.7115320984437657,5.1624635613058,1.563215018316762,2.2721055348081434
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,27,0.2,0.7107776947138171,0.7107776947138171,0.7250895330861089,5.501451482753363,1.5127288077290637,2.345517316660306
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,27,0.3,0.7155674037034789,0.7356466544365318,0.7270112422070077,5.028405756886251,1.5043029205493696,2.242410702098581
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,27,0.4,0.7389139659492541,0.7273269459684357,0.7311128249401935,4.940797079116366,1.505120815334432,2.222790381281232
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,27,0.5,0.7143342002401352,0.7402524178113636,0.7255764349800525,5.186659361989747,1.5140873887608022,2.277423843290868
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,27,0.6,0.7411271689667184,0.74068856501513,0.7253375384094509,5.1571419768231355,1.508571640897362,2.2709341639120972
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,27,0.7,0.7273269459684357,0.7279526004440371,0.7316253200369041,5.1747584550417765,1.529020153949454,2.274809542586319
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,27,0.8,0.7047347746983637,0.7288787339303346,0.7026970315311116,4.9325008909005765,1.5024552616970706,2.2209234320211437
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,27,0.9,0.7356466544365318,0.7411271689667184,0.7310432766982029,5.407385288770938,1.4993439550906624,2.3253785259116286
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,27,1.0,0.7392744272549853,0.7157229426285507,0.7112681442191562,4.924157971576218,1.548750844101892,2.2190443825160906
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,28,0.1,0.7176368650083454,0.7419403386353174,0.7275928679052833,5.046319511934064,1.496241390968057,2.246401458318184
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,28,0.2,0.7279526004440371,0.7347048925128825,0.7301599887475343,4.908690238288437,1.5089246289776932,2.215556417311109
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,28,0.3,0.7287754089491101,0.7392744272549853,0.7299752056900589,4.959399958279448,1.5215145487065072,2.226971027714426
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,28,0.4,0.7347048925128825,0.7412578519936894,0.7318543833069927,4.9216721801301215,1.4994690734721088,2.2184842077711804
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,28,0.5,0.7419403386353174,0.7287754089491101,0.7297909424910907,5.159107376312643,1.5107767618110515,2.271366851988609
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,28,0.6,0.74068856501513,0.7409638508497468,0.7253971145447933,4.927264532447742,1.4974644556153505,2.2197442493331843
